paragraph_1,paragraph_2,paragraph_3,article,passage
"A unity government is installed.#$Netanyahus proceedings are in the way, however.#$And it is hard to see how any unity governmentany leaders other than Netanyahu sycophants in the Likud and right-extremistswill agree to hand Netanyahu new laws that tamper with basic constitutional law.#$The only way that he could be moved aside is if Rivlin, who has long been alienated from him, consults with all parties, concedes a virtual tie, and turns to a third member of the Knessetsay, a veteran Likud rival such as Saarand asks that member to assemble a coalition.#$The move would be unprecedented, and it would have to be coordinated with Gantz, but he has already made it clear that he would go for a coalition with the Likud sans Netanyahuif only to keep the Kahanists out.#$","There is much to learn from this campaign, none of it reassuring.#$Like Trumps supporters, Netanyahus often seem to so deeply identify with his everyman posturing, his regional bullying, and his nationalist resentments that democratic institutions can be made to appear as just another elitist preoccupation.#$The Passover Haggadah, which will be read in a couple of weeks time, says that the simple son is answered with shows of strength.#$Netanyahu has grasped the lesson.#$", ,3,7
"Last May, the Secretary of Homeland Security, Kirstjen Nielsen, threatened to resign after President Trump humiliated her in a Cabinet meeting.#$At the time, the number of Central American migrants arriving at the U.S. border was rising, with fifty thousand people being arrested each month, and the President was blaming her personally.#$Why dont you have solutions? he demanded at the meeting.#$How is this still happening? Influential figures in the White House, led by Stephen Miller, the Presidents senior policy adviser, had long been suspicious of Nielsens establishment credentials, and Trump, who personally disliked her, had always resented the fact that her mentor, John Kelly, who was then the White House chief of staff, had forced her nomination on him.#$More than anything else, though, it was the timing of her confirmation, in December, 2017, that made Nielsen particularly vulnerable; it coincided with an uptick in regional migration, which enabled her detractors within the Administration to portray her to the President as ineffectual and insufficiently loyal to his agenda.#$Nielsen managed to stay in her post only because there was no obvious way for Trump to remove her.#$The Administration cant get rid of Nielsen, a D.H.S.#$official told me that spring.#$She doesnt even have a deputy right now to fill in for her if she leaves.#$","On Sunday evening, Nielsen still did not have a confirmed deputy to succeed her when, under pressure from the President, she announced her resignation.#$In March, after months of steady increases in the number of immigrants arriving at the southern border, U.S. authorities arrested nearly a hundred thousand people.#$It was the highest rate of monthly apprehensions in more than a decade, and the Departments enforcement agencies have had to release hundreds of families into the country because the government no longer has the capacity to hold them all.#$Trump has responded by declaring a national emergency, moving to cut all aid to Central America and threatening to close ports of entry along the southern border.#$Publicly, Nielsen supported the President, but privately, one Administration official told CNN, she felt that the situation was untenable and Trump was becoming increasingly unhinged .#$.#$.#$and making unreasonable and even impossible requests. At 5 P.M. on Sunday, Nielsen travelled to the White House to discuss border policy with the President; when she emerged, the President announced her departure.#$","Whats most striking about Nielsens exit isnt that she left at a moment of political upheaval, or even that she managed to hang on to her post for as long as she did.#$In the past year, even as Nielsen pursued the most aggressive enforcement strategy of any secretary in the history of the department, Trump saw her as too weak to be trusted.#$The Administrations most controversial immigration policiesfrom family separation to the recent overhaul of asylum practices known as Remain in Mexicoall happened on Nielsens watch.#$She defended these policies to the press and to Congress and frequently lied in the process.#$Nielsen continues to claim, for instance, that the Trump Administration never had a policy of separating families at the border.#$She was willing to toe the Trump line in ways that were dishonest, one Administration official told me.#$The worst part about her time at D.H.S.#$is that she hasnt been an honest broker. The greatest irony of Nielsens tenure may be that, in an Administration full of anti-immigration stalwarts, she was not an ideologue but an opportunist.#$While she was never a true believer, like Stephen Miller, she became nearly as notorious, having weaponized immigration policy in the battle for her own political survival.#$",4,1
"Three days before Nielsens resignation, the White House had rejected another immigration official for a top job in the Administration.#$The President withdrew the nomination of Ronald Vitiello as the head of Immigration and Customs Enforcement, because Trump wanted to go in a tougher direction.#$ Vitiello was a career immigration agent with decades of experience, and both Democrats and Republicans in the Senate signalled their support for his eventual confirmation.#$The move was so unexpected that officials at D.H.S.#$initially thought thered been a clerical error.#$I spoke to one senior Department official the following day who told me, We learned the news at the same time you did.#$","Although Vitiello had few opponents, they were influential.#$Chris Crane, the militant head of ICEs union, and Stephen Miller, at the White House, believed Vitiello was too moderate on enforcement and were able to successfully lobby the President.#$Trump also faulted Vitiello for something outside of his controlin this case, the fact that ICE could not legally detain immigrant families indefinitely.#$ICE is currently detaining fifty thousand immigrants, a twenty-five-per-cent increase from last year and a record in agency history.#$But the agency has also been forced to release families near the border, and Trump has complained that it is reverting to catch and release, which he associates with the Obama Administration.#$Based on the evidence, what else does Vitiello need to do in order to demonstrate his toughness? John Amaya, the deputy chief of staff at ICE from 2015 to 2017, said.#$Given the politics, laws, regulations, litigation, and operational constraints, what more could the agency accomplish under someone elses leadership?#$It must be a wonderful world to live in where you are willfully and blissfully ignorant to the realities of law enforcement and still have your seat in the Oval Office.#$","Trump has made immigration enforcement the rallying cry of his Presidency.#$But his politicization of D.H.S.and especially of ICE, its interior enforcement armhas repeatedly backfired.#$More than two years into his term, Trump still does not have a confirmed head of the agency.#$Vitiellos predecessor, an enforcement veteran named Tom Homan, who came out of retirement to lead ICE, had embraced the Presidents aggressive rhetoric.#$Trump praised him for looking very nasty and very mean, but his close identification with the President also made him politically toxic, and Homan resigned last year, after a tumultuous tenure in which the Senate never confirmed him.#$It was a matter of time before Tom would leave, a former D.H.S.#$official who knew Homan told me at the time.#$Its a dead-end job.#$Hes been on TV non-stop talking about what they are doing and defending the Administrations policies at every turn.#$Yet, when it came down to legislation and working with members of Congress, he was cut out.#$The official added that Homan was tired of being sent on these missions by the White House to scorch the earth.#$Vitiello, who appeared to learn the lesson of Homans demise, was careful to tell the President what he needed to hear while also keeping a lower public profile.#$Trump punished him anyway.#$",4,2
"Nielsens successor as acting head of D.H.S.#$will be Kevin McAleenan, the commissioner of U.S. Customs and Border Protection (C.B.P.).#$Current and former department officials have told me that McAleenan is smart, fact-driven, intellectual, and thoughtful. A lawyer by training, with a degree from the University of Chicago, he first joined D.H.S.#$in 2006, as a customs agent in Los Angeles, and later rose to become the deputy commissioner of C.B.P.#$under President Obama; in March of 2018, the Senate confirmed him as head of the agency.#$","The biggest question surrounding McAleenan, who, unlike Nielsen, is seen by both Republicans and Democrats as a credible choice to lead the governments third-largest federal department, is how quickly Trump will sour on him.#$McAleenan has already taken public positions that are at odds with the extremist views of the White House.#$Last December, he praised a new plan at the State Department to increase aid to Central American countries to help improve conditions in the region, and he has continued to speak forcefully about the need for the U.S. to address the root causes of emigration.#$As head of C.B.P., an agency tasked with policing the border, McAleenan has had limited sway over foreign policy.#$Now that hes in a position to play a bigger role in those discussions, he runs the risk of upsetting the President.#$","Another concern, typical for anyone in the Administration, is whether its even possible for a career public servant like McAleenan to operate effectively, and with integrity, in the face of constant pressure from the White House.#$Thats what makes me nervous, one Administration official told me.#$Im not sure how he can finesse things with this Administration. McAleenan did not think up the Administrations family-separation policy, for example, but he did play a role in implementing it.#$In April of 2018, his name was at the top of a document signed by three agency heads at D.H.S.including Tom Homan, at ICE, and Francis Cissna, at Citizen and Immigration Servicesarguing that family separation would deter other immigrant families, according to someone who saw the document.#$In December, as the Trump Administration tightened restrictions at ports of entry and migrants crossed in increasingly remote areas of the desert, two Guatemalan children died in the custody of Border Patrol.#$McAleenan is a career civil servant, and I believe he wants to see his job through to the end, regardless of the Administration, the official told me.#$In the Trump Era, doing so comes at a high cost.#$",4,3
"For all of McAleenans credentials, his new title may be a sign of someone elses promotion.#$In a single week, Stephen Miller has successfully torpedoed the careers of two D.H.S.#$officials and has shown his ever-expanding influence within the Administration.#$In a recent Oval Office meeting, according to the Washington Post, Trump told Miller that he would be in charge of all immigration and border matters.#$Theres been talk of creating a new government post known as Trumps immigration tsar, with ranging responsibilities to implement Millers agenda; the names reportedly under considerationincluding the former Virginia attorney general Ken Cuccinelli and the former secretary of state of Kansas Kris Kobachare notorious for their partisan and ideological bona fides.#$Miller appears to hold even greater sway over immigration policy than he did a year ago, and the President, whos reportedly championing a new policy to separate families at the border, is as receptive as ever.#$On Sunday, I asked the Administration official whether McAleenan stood a chance of leading the Department under these circumstances.#$If Trump wants a negotiator, someone who has a lot of credibility, the official said, he has that in McAleenan. The official then went on to outline a list of policy priorities for addressing the crisis at the border that might achieve some measure of consensus in Washington.#$So far, he added, there hasnt been any serious effort to give those a chance.#$", , ,4,4
"The Islamic State has finally fizzled.#$Its caliphate, daringly declared from the pulpit of the Great Mosque of al-Nuri, in Iraq, in 2014, had been the size of Britain, ruled eight million people, lured recruits from eighty countries, and threatened to redraw the map of the Middle East.#$It ended, in the Syrian farming hamlet of Baghouz, as little more than a junk yard about the size of Central Park, filled with burnt-out vehicles and dilapidated tents.#$Tens of thousands of ISIS loyalists, both fighters and their families, opted to surrenderand face life in crammed prisons and dreary detention campsrather than become martyrs in ISISs promised paradise.#$","The dangers are far from over.#$ISIS has sleeper agents.#$There are thousands, General Mazloum Kobani Abdi, the reclusive politician turned commander who led the campaign against ISIS in Syria, told me, when I travelled through the former caliphate last month.#$Abu Bakr al-Baghdadi, the Islamic States caliph and the worlds most wanted man, has evaded capture.#$ISIS also still has affiliates active from Nigeria to Afghanistan, from Egypt to the Philippines.#$Frankly, our job has just started, Mazloum warned.#$We are finishing the great battle, then we will fight a different kind of war.#$","The drive to flush ISIS out of Syrian territory was described as the most successful unconventional military campaign in history by the Middle East Institute last month.#$More than a dozen American diplomats and military officials involved in Syria told me the same thing.#$The campaign was distinct from the counterpart operation in neighboring Iraq, where the United States coordinated with a friendly government, retrained its conventional Army, provided sophisticated weaponry, established a headquarters for a coalition of seventy-four countries, and had legal status granted by parliament.#$",5,1
"The campaign in Syria liberated roughly the same amount of territory.#$But it relied on an unlikely partnership between elite U.S. Special Forces teams and a scrappy local militia led by Mazloum, a middle-aged Kurdish rebel whose face has been weathered by years of conflict and five stints in Syrian prisons.#$They all operated in defiance of the Syrian government and its Russian, Iranian, and Hezbollah allies deployed nearby.#$Their mission was shrouded in secrecy.#$American troops wore no identifying insignias, ranks, or names on their uniforms.#$The Syrian fighters knew only the first names of the Americans, including the commander.#$Yet they established an unusual level of trust.#$The U.S.-led international coalition provided air cover, but it depended on the Syrian Democratic Forces, or S.D.F., to protect their troops on the ground.#$","Together, they seized twenty thousand square miles in northern Syria, a dusty region of crops, pastures, and oil fields that reminded me of Oklahoma.#$When I drove around Raqqa, the former ISIS capital, little girls with ponytails and pastel backpacks were headed to schoolafter years of being banned from education or even from leaving home.#$Women, their faces uncovered, strolled to the street markets rising amid the rubble, much of it created by U.S. air strikes.#$Small groups of men sat curbside, sipping their morning tea and smoking, another practice that was banned under ISIS.#$At several shops, workers were pounding twisted construction rodsgiant metal tumbleweeds pulled from bombed-out buildingsto flatten them, for use in reconstruction.#$Spring lambs, small and pristine white, nibbled along the roadsides.#$","In Washington and other Western capitals, the territorial defeat of ISIS, which for years was considered the greatest threat to global security, will almost certainly be studied as a model for future counterterrorism operations.#$The S.D.F.#$is the best unconventional partner force weve ever had, anywhere, Brett McGurk, the former lead coordinator of the campaign against ISIS, who is now a fellow at Stanford, told me.#$The S.D.F.#$in effect conquered one-third of Syria, once the heart of the ISIS caliphate, with very low costs for the United States. Mazloum, who is on Turkeys most-wanted list, evolved into one of the most important U.S. allies in the Middle East.#$",5,2
"The collaborationwhich deepened over three phasesis an epic with twists, tragedies, and, ultimately, betrayal at an enormous cost to Americas allies in Syria.#$Eleven thousand Kurdish fighters have died since 2014.#$The Americans have lost eight.#$","The crisis on Mount Sinjar eased after Kurdish fightersincluding Mazloums militiacreated an escape route for the Yazidis into Syria.#$Pentagon officials took note.#$The United States had struggled to identify or create a credible rebel force in Syria.#$Mazloum had a standing militia that proved it could fight, even with only vintage weapons.#$Between 2011 and 2013, without foreign support, it had pushed Syrian government forces out of northern Kurdish towns during the Arab Spring and fought off an Al Qaeda franchise that moved on Kurdish turf.#$A senior U.S. military official looked for an introduction.#$The United States was not the only country interested in the Kurdish general, U.S. officials told me.#$On the morning of August 18th, Mazloum met Qassem Suleimani, the head of Irans Quds Force, the most elite unit in the Revolutionary Guard.#$The Iranians had rushed infaster than the Americans didto help the Iraqis hold off the ISIS juggernaut.#$Hours after meeting the Iranian commander, Mazloum rendezvoused with the American official in Suleimaniya, a Kurdish city in northern Iraq.#$","Mazloum came with complications, however.#$His original militia was the Peoples Protection Units, or Y.P.G.#$; it was Kurdish.#$Its political arm sought autonomy in Syria.#$Many of its members, including Mazloum, had trained with a militant Turkish movementthe Kurdistan Workers Party, or P.K.K.which was waging an insurgency to win autonomy in Turkey.#$The P.K.K.#$was on the U.S. and Turkish lists of terrorist organizations.#$Its leader, Abdullah Ocalan, had lived in the Kurdish region of Syria for two decades before he was imprisoned, in 1999, in Turkey.#$Ocalan was a personal friend of Mazloums; they were once photographed swimming together in the Euphrates River.#$For a period of time, I served in P.K.K.#$ranks, Mazloum told me.#$Ocalan was working here, and the people here had loyalty to him.#$But the Y.P.G.#$is not a terrorist organization.#$Always the Turks like to paint everything in Syria like its the P.K.K., but this is not true. Yet Mazloum has relatives who are still with the P.K.K.#$Huge posters of Ocalan adorned every Y.P.G.#$and S.D.F.#$base I visited.#$",5,3
"The American overture to Mazloum had both conditions and limits, senior U.S. officials told me.#$The U.S.-backed coalition could provide strategic advice but no major arms, because of the Y.P.G.s history.#$If the Kurds took territory from ISIS, they had to include other ethnic or religious groups, notably Arabs and Christians, in setting up governance and security.#$The Kurdish militia had to accept that its region would remain part of Syriaand not try to break away into an independent Kurdish state.#$And they had to vow not to attack Turkish interests.#$If any of those terms were violated, the U.S. would walk away.#$Mazloum opted for an alliance with the Americans.#$At the time, ISIS was getting stronger every day, he told me.#$We were at capacity just stemming the tide and protecting our area.#$The United States intervening in this fight changed the balance of power between us and ISIS.#$","The makeshift alliance was tested a few weeks later, when ISIS invaded Kobani, a strategic town built as a whistle stop on the Berlin-Baghdad railway.#$Kobani is Mazloums home town.#$He incorporated it into the nom de guerre by which he is known.#$(His real name is Ferhat Abdi Sahin.)#$ISIS seized sixty per cent of the city, forcing most of its forty thousand residents to flee across the border to Turkey.#$In October, 2014, I watched from a nearby hill in Turkey as ISIS pounded Kobani with thundering artillery.#$ISISs black-and-white flag billowed on the horizon.#$","Kobani proved to be a turning point for Washington.#$The Obama Administration expanded its intervention, from Iraq into Syria, with air strikes on ISIS forces in Kobani.#$Among the targets was Mazloums home.#$ISIS had seized it as an operations center.#$Mazloum approved the U.S. decision to destroy it, a senior U.S. official told me.#$The marriage of American air power and a tough local militia on the grounddubbed the hammer and anvil strategysucceeded.#$After a gruelling five-month battle, ISIS experienced its first defeat.#$In January, 2015, Mazloums militia hoisted its yellow banner atop Kobanis highest hill; fighters, both male and female, danced by firelight amid the citys bombed-out ruins.#$Kobani, where more than thirteen hundred Kurds perished, still ranks as the longest, deadliest, and most vicious battle with the Islamic State.#$It later became a base used by U.S. Special Forces and a small team of U.S. diplomats.#$",5,4
"The partnership deepened in the second phase.#$In April, 2015, the U.S. approached Mazloum about leading the war against ISIS beyond Syrias Kurdish regions.#$The Obama Administration was on the verge of abandoning a separate Pentagon program to train fifteen thousand Syrians in Turkey and Jordan.#$Five hundred million dollars had been allocated for the program; ultimately, fifty million dollars were spent, and it produced only a handful of trained soldiers.#$I wasnt happy with the early efforts, Secretary of Defense Ash Carter admitted at a news conference in Washington at the time.#$So we have devised a number of different approaches. They relied heavily on Mazloums militia.#$","In a grinding campaign that often involved house-to-house fighting and claimed the lives of thousands of S.D.F.#$members, the group slowly seized territoryTal Abyad, al-Hawl, the Tishreen Dam, al-Shaddadi, and Manbijthat cut off land routes for foreign fighters and supplies coming through Turkey.#$Thousands of U.S. and coalition air strikes demolished ISIS offices, barracks, convoys, checkpoints, and arms depots.#$They picked off ISIS leaders, including Abu Muhammad al-Adnani, the social-media mastermind of ISIS, and Jihadi John, the executioner with a British accent who beheaded, on video, the Americans journalists James Foley and Steven Sotloff, three Western aid workers, and two Japanese reporters.#$The Obama Administration also quietly deployed hundreds of additional U.S. Special Forces to Syria.#$Mazloum, who had kept a low profile after multiple assassination attempts against him, began hosting top Pentagon brass and congressional delegations, including Senators John McCain and Lindsey Graham, who travelled to liberated corners of Syria.#$","As S.D.F.#$capabilities expanded, the U.S. asked Mazloum to take on the biggest challenge yet: liberating Raqqa, the ISIS capital, a city with a quarter of a million residents.#$Implicit in the U.S. request was an awareness that the fighting was likely to be long, intense, and costly in human life.#$A senior U.S. official who worked with Mazloum remembered the conversation.#$Whatever we laid out to him, what we wanted the campaign to be, he looked at me and said, I trust your judgment.#$We would probably, for other reasons, do this a little bit differently.#$I understand your logic, and I agree.  Mazloum noted, however, that he would need more sophisticated arms for urban warfare.#$This time, he said, the Kurdish Y.P.G.#$fighters in the S.D.F.#$would have to receive U.S. arms, as well.#$",5,5
"During the 2016 Presidential campaign, Donald Trump had repeatedly blasted the Obama Administration for not doing enough to defeat ISIS.#$He vowed to do moremuch more.#$I would bomb the shit out of them, he said at one rally.#$Id just bomb those suckers.#$Id blow up the pipes, Id blow up the refineries, Id blow up every single inchthere would be nothing left. In May, 2017, four months after taking office, Trump approved arms shipmentsmachine guns, mortars, anti-tank weapons, armored cars, and engineering equipmentto the Kurds.#$The battle for Raqqa accelerated in June.#$The S.D.F.#$seized the ISIS capital in October.#$More than six hundred and fifty S.D.F.#$fightersKurds, Arabs, Turkmen, and Syriac Christianswere killed in Raqqa.#$","The joint campaign faced sporadic challengesmenacing warnings from the Syrian government, the deployment of Russian mercenaries nearby, and constant criticism from Turkey.#$In November, 2017, President Recep Tayyip Erdogan called Trump, who was in Florida, preparing for a round of golf with Tiger Woods, to complain about U.S. arms flowing to Kurds in the S.D.F., which Erdogan considered a terrorist group.#$Surprising his aides, Trump promised to stop the shipments.#$Former U.S. officials familiar with the call told me that the President did not fully grasp the details, players, or regional politics of his own decision to arm the Kurdsor that it was the decision that enabled the Kurdish-led S.D.F.#$to liberate Raqqa.#$U.S. officials had to convince Trump that the weapons were essential because the war with ISIS was not over, a former Pentagon official told me The U.S. arms shipments to the Kurds continued.#$","The campaign against ISIS was nearly derailed again when Turkish-backed fighters invaded Afrin, one of three Kurdish cantons in northern Syria, in January, 2018.#$The offensive followed news that the U.S. planned to create a border force of several thousandhalf from the S.D.F.#$and half new recruitsto better secure the Syrian borders with Turkey and Iraq.#$Tens of thousands of foreign fighters had passed through Turkish territory to join the caliphate.#$The U.S.-backed border force was designed to deal with a problem that Erdogan had not addressed.#$Erdogan countered that the U.S. was creating a terror army and vowed to suffocate it.#$",5,6
"The Turkish-backed invasion forced Mazloum to pull S.D.F.#$troops away from the front line with ISIS, to defend Afrinthis time without U.S. air power to support them.#$Washington disapproved of Ankaras offensive, but Turkey was a NATO ally.#$The S.D.F.#$was no match for Turkeys tanks, artillery, and warplanes.#$After two months, Mazloums militia retreated.#$Relations soured with the United States; the offensive against ISIS stalled.#$U.S. intelligence predicted that Mazloum might even end the partnership.#$Were on the two-yard line, a senior U.S. Special Forces commander told NBC News.#$We could literally fall into the end zone.#$Were that close to total victory, to wiping out the ISIS caliphate in Syria.#$Were that close, and now its coming apart.#$","The S.D.F.#$was also scrambling to administer and secure the regionroughly a third of Syriathat it had liberated.#$Towns were war-ravaged.#$Basic services were destroyed.#$Many residents had fled.#$In Arab areas, the S.D.F.#$turned to tribal sheikhs to help form new city councils.#$The S.D.F.#$did not just clear territory.#$They held it, McGurk, the former lead coordinator of the campaign, told me.#$They recruited locals to govern and established a permissive security environment.#$Thats what allowed us to be in Syria with a very light U.S. footprint.#$","Mazloums militia, which included a large female force, returned to the ISIS battlefront last fall.#$The final hurdle was to clear Deir Ezzor province, which is home to Syrias most valuable oil fields.#$In December, the S.D.F.#$captured Hajin and began mapping out the next two months of operations with U.S. Special Forces.#$Their focus was on eliminating the stubborn Islamic State pockets near the Iraqi border and stabilizing liberated areas to prevent an ISIS resurgence.#$We have obviously learned a lot of lessons in the past, so we know that once the physical space is defeated we cant just pick up and leave, McGurk told reporters on December 11th.#$Were prepared to make sure that we do all we can to ensure this is enduring. U.S. goals, he added, will take some time.#$",5,7
"Six days later, Mazloum was summoned by General Joseph Votel, the head of U.S. operations in the Middle East, for a video conference.#$The timing, at midnight in Syria, was unexpected.#$So was the message.#$I was the first one to hear the words, Salar Malla, Mazloums aide-de-camp and translator, told me.#$Before you translate anything, you have to absorb it.#$I spoke the words, but I didnt believe them.#$","General Votel informed Mazloum that he had received a letter from the White House two hours earlier, ordering the immediate withdrawal of U.S. troops from Syria.#$Votel did not know the details, he told Mazloum, but he had wanted the Kurd to hear it from him rather than from the media.#$It was a surprise, Mazloum told me, at his forward operating base.#$We didnt believe that in the middle of the battle, when were fighting against ISIS, when were fighting against all the others, that our partners would abandon us.#$To be honest, the painful point for us was that America is a great country.#$How could a great country behave like that and abandon its allies in the middle of the fight?#$And, from that time on, how are people going to trust in the Americans or partner with them in any fight in the future?#$","Trump had made the decision unilaterally, U.S. officials told me.#$There had been no interagency review, no conferring with military brass, no discussions with the dozens of other countries in the U.S.-led coalition.#$Many were as surprised as Mazloum was.#$The pivot had been another telephone conversation with President Erdogan.#$The Turkish leader asked why the U.S. needed two thousand troops in Syria if the caliphate was collapsing.#$Two days later, Trump tweeted, We have defeated ISIS in Syria, my only reason for being there during the Trump Presidency. The problem was that ISIS had not yet collapsed.#$It still had tens of thousands of fighters, families, and fans in pockets of the Euphrates River Valley.#$",5,8
"In Washington, the backlash to Trumps abrupt decision was immediate.#$Defense Secretary James Mattis pleaded with the President to change his mind; when he didnt, Mattis resigned.#$So did McGurk.#$Even Trumps Republican allies expressed outrage.#$Lindsey Graham called the decision a stain on the honor of the United States. A bipartisan group of senators appealed to the White House.#$If you decide to follow through with your decision to pull our troops out of Syria, any remnants of ISIS in Syria will surely renew and embolden their efforts in the region, they wrote.#$","In a rare public statement, Mazloum also appealed to Trump, asking him to keep at least half of the two thousand troops in place until all of the Islamic States territory was liberated.#$We would like to have air cover, air support and a force on the ground to coordinate with us, Kobani told reporters travelling with an American military delegation.#$American forces must remain beside us. Trump had once pledged to protect the S.D.F., Mazloum said.#$I want him to live up to his word. In a separate conversation, he admitted to me, Were worried about being alone again.#$","Mazloum did not waver, however.#$Immediately, we started thinking of the phase after the American presence in Syria, and how were going to distribute our forces and depend on our own capacity to preserve those gains, he told me.#$At the end of the day, this is an internal American decision, and we cannot intervene in it.#$So we started thinking about how were going to be able to fight and do policy without them.#$",5,9
"A senior U.S. official who had worked closely with Mazloum reflected, Never once did he not live up to exactly what he said he was going to do. The S.D.F.#$fought on as the United States quietly began pulling out troops and equipment.#$The final front line was Baghouz, the farming hamlet near the Iraqi border.#$It was a long slog, with repeated pauses to allow civilians, including the families of ISIS fighters, to leave.#$We dont want the images from our last battle to be bloody, Mazloum told me.#$Were not ISIS.#$", , ,5,10